responseTime,correctCount,incorrectCount,rememberRate,daysSinceLastLearn,isCorrect
2.88,15,1,0.8889,5,1
9.58,2,1,0.6,5,0
2.61,11,1,0.8571,2,1
2.74,6,2,0.7,0,1
2.65,14,3,0.7895,15,0
1.2,6,1,0.7778,1,1
8.73,3,3,0.5,11,0
2.46,12,0,0.9286,38,0
2.29,7,0,0.8889,39,0
4.36,7,3,0.6667,46,0
6.05,3,5,0.4,9,1
9.69,3,7,0.3333,22,0
3.65,11,0,0.9231,36,0
2.74,10,1,0.8462,54,0
3.73,9,4,0.6667,16,1
5.61,2,2,0.5,16,0
2.13,13,0,0.9333,21,0
3.6,13,1,0.875,2,1
1.78,12,2,0.8125,1,1
1.91,11,1,0.8571,20,0
6.93,3,5,0.4,25,0
1.94,5,1,0.75,2,0
3.51,4,1,0.7143,2,1
5.39,2,1,0.6,14,0
7.5,5,1,0.75,5,0
3.8,8,1,0.8182,2,1
3.22,5,1,0.75,1,1
3.71,7,5,0.5714,12,1
3.8,2,1,0.6,4,0
5.53,3,1,0.6667,17,1
6.78,1,5,0.25,11,0
7.26,0,5,0.1429,27,0
5.42,9,3,0.7143,15,0
5.59,6,4,0.5833,6,0
1.89,10,2,0.7857,3,1
3.43,11,2,0.8,5,1
2.29,7,0,0.8889,53,0
4.8,7,1,0.8,52,0
2.27,15,0,0.9412,6,1
1.21,9,0,0.9091,1,1
6.12,7,3,0.6667,11,0
2.25,15,2,0.8421,1,1
9.64,1,1,0.5,9,0
4.4,6,0,0.875,30,0
2.93,12,0,0.9286,2,1
6.81,1,1,0.5,28,0
7.09,1,1,0.5,17,0
3.67,8,3,0.6923,18,1
2.93,2,2,0.5,8,0
2.62,11,2,0.8,32,0
3.48,14,2,0.8333,3,0
1.36,14,0,0.9375,7,1
2.27,7,3,0.6667,20,1
5.15,3,1,0.6667,4,1
4.1,6,3,0.6364,57,0
2.77,5,1,0.75,10,0
4.63,2,1,0.6,9,0
5.38,3,2,0.5714,7,0
6.35,3,2,0.5714,13,0
7.21,3,5,0.4,8,0
3.42,5,1,0.75,5,0
7.99,2,7,0.2727,8,0
4.16,7,1,0.8,12,1
5.17,9,3,0.7143,16,0
5.79,2,2,0.5,14,0
6.94,5,2,0.6667,16,0
2.54,5,3,0.6,17,0
1.98,5,0,0.8571,7,0
2.84,6,5,0.5385,9,0
8.33,3,5,0.4,6,0
5.12,2,5,0.3333,8,0
5.09,1,1,0.5,4,0
6.48,8,4,0.6429,3,1
4.52,9,2,0.7692,52,0
8.16,3,2,0.5714,22,0
3.66,8,2,0.75,6,1
6.36,0,5,0.1429,29,0
1.0,15,2,0.8421,4,1
3.77,9,1,0.8333,45,0
2.52,8,2,0.75,9,1
3.82,13,2,0.8235,20,1
3.25,13,1,0.875,39,0
2.47,5,2,0.6667,1,1
5.98,3,2,0.5714,10,1
7.31,1,6,0.2222,18,0
9.21,2,6,0.3,24,0
8.57,1,3,0.3333,27,0
3.0,6,1,0.7778,42,0
3.03,9,1,0.8333,46,0
3.53,6,1,0.7778,0,1
9.42,3,7,0.3333,21,0
4.94,9,1,0.8333,53,0
1.97,11,0,0.9231,28,0
4.94,10,0,0.9167,28,0
4.66,7,3,0.6667,32,0
3.92,6,0,0.875,17,1
1.01,13,0,0.9333,0,1
6.01,4,3,0.5556,3,1
1.66,15,0,0.9412,4,1
2.61,15,0,0.9412,5,1
3.18,6,1,0.7778,58,0
5.92,7,1,0.8,14,0
6.64,3,5,0.4,22,0
3.42,6,1,0.7778,36,0
9.39,2,6,0.3,16,0
3.59,13,1,0.875,7,0
9.03,2,4,0.375,24,0
5.62,6,3,0.6364,9,0
2.7,5,1,0.75,7,1
2.44,6,3,0.6364,17,1
5.49,0,2,0.25,3,0
5.49,2,2,0.5,3,0
6.97,4,3,0.5556,8,1
2.37,10,1,0.8462,24,0
3.65,7,0,0.8889,60,0
5.52,3,3,0.5,3,0
7.34,2,1,0.6,7,1
5.7,3,1,0.6667,4,0
1.47,8,0,0.9,7,0
6.86,5,5,0.5,18,1
2.73,8,2,0.75,7,1
5.57,0,4,0.1667,10,0
6.74,0,2,0.25,21,0
8.23,1,2,0.4,16,0
4.75,7,2,0.7273,36,1
3.16,9,0,0.9091,33,0
3.65,8,0,0.9,32,0
7.17,5,4,0.5455,11,1
5.03,7,4,0.6154,13,0
4.2,12,0,0.9286,59,0
3.32,11,1,0.8571,41,0
2.63,5,3,0.6,9,1
6.0,3,1,0.6667,16,0
9.77,3,2,0.5714,8,0
8.09,1,2,0.4,18,0
1.08,14,0,0.9375,2,0
9.47,0,3,0.2,25,0
3.49,5,1,0.75,1,1
2.25,9,0,0.9091,4,1
7.09,3,4,0.4444,29,0
3.45,7,0,0.8889,2,1
9.2,0,7,0.1111,11,0
3.69,8,5,0.6,12,1
4.89,6,1,0.7778,45,0
4.56,14,0,0.9375,18,0
4.04,11,3,0.75,24,0
4.65,5,3,0.6,3,1
5.04,1,6,0.2222,10,0
2.84,14,1,0.8824,2,1
5.06,9,5,0.625,13,1
9.47,1,7,0.2,15,0
7.6,0,5,0.1429,24,0
6.83,6,4,0.5833,18,1
7.02,2,2,0.5,12,0
2.03,10,1,0.8462,3,1
3.83,11,3,0.75,57,0
7.32,4,3,0.5556,11,0
3.49,5,1,0.75,3,1
1.6,15,1,0.8889,4,1
4.33,6,3,0.6364,9,0
7.77,0,2,0.25,28,0
5.97,2,3,0.4286,10,0
6.51,7,3,0.6667,5,1
4.69,13,3,0.7778,15,0
4.54,11,3,0.75,49,1
2.61,9,1,0.8333,22,0
7.92,0,5,0.1429,6,0
2.03,6,0,0.875,2,1
7.86,2,7,0.2727,7,0
3.24,10,2,0.7857,4,0
2.59,15,2,0.8421,52,0
3.43,11,0,0.9231,15,0
3.93,7,0,0.8889,59,0
7.45,1,1,0.5,6,0
8.64,2,1,0.6,15,0
6.43,2,4,0.375,15,0
4.25,15,1,0.8889,33,0
7.18,3,2,0.5714,18,0
5.1,3,6,0.3636,7,0
6.18,3,4,0.4444,29,0
1.36,7,1,0.8,7,1
5.0,4,1,0.7143,4,1
1.79,6,2,0.7,5,0
2.92,14,0,0.9375,4,1
2.33,9,2,0.7692,6,0
6.37,2,5,0.3333,15,0
3.2,7,1,0.8,2,1
3.6,11,0,0.9231,21,1
2.26,8,1,0.8182,26,0
3.04,6,4,0.5833,15,1
2.33,10,1,0.8462,0,1
4.18,8,3,0.6923,21,0
4.55,8,0,0.9,24,0
2.62,6,0,0.875,0,1
5.54,1,6,0.2222,7,0
4.22,9,3,0.7143,59,0
4.47,15,1,0.8889,35,0
5.58,2,3,0.4286,13,0
1.22,15,0,0.9412,2,1
8.0,0,5,0.1429,15,0
3.38,5,5,0.5,14,0
7.5,0,1,0.3333,19,0
3.31,14,3,0.7895,48,0
2.16,8,2,0.75,0,1
2.71,12,2,0.8125,31,0
1.05,13,0,0.9333,0,1
9.14,2,6,0.3,24,0
7.28,2,4,0.375,20,0
2.91,7,0,0.8889,7,1
1.99,11,2,0.8,7,1
5.66,3,2,0.5714,11,1
3.8,8,2,0.75,6,1
2.35,14,0,0.9375,30,0
1.89,11,0,0.9231,3,1
1.56,11,0,0.9231,41,0
2.94,11,1,0.8571,44,0
1.29,7,1,0.8,5,1
2.24,8,1,0.8182,49,0
